Column1;BaWü$FID;BaWü$RS;BaWü$AGS;BaWü$SDV_RS;BaWü$GEN;BaWü$BEZ;BaWü$IBZ;BaWü$BEM;BaWü$SN_L;BaWü$EWZ;Sparkasse;Indikator;Kürzel;Zinsüberschuss;Provisionsüberschuss;Sonstige Erträge;Ertragsposition;Personalaufwand;Andere Verwaltungsaufwand;Sonstige Aufwendungen;Aufwandsposition;Jahresüberschuss vor Steuern;Ergebnis der normalen Geschäftstätigkeit;Bilanzsumme
1;5215;81110000000;8111000;81110000000;Stuttgart;Stadt;60;kreisfrei;8;632743;LBBW;18;LBBW;0;0;0;0;0;0;0;0;0;0;0
2;5216;81150003003;8115003;81150003003;Böblingen;Stadt;61;--;8;50035;Kreissparkasse Böblingen;3;KSK BÖB;0,013517846;0,004800893;0,002429156;0,020747895;0,008145543;0,004634346;0,000504446;0,013284335;0,00170943;0,003510285;8791310560
3;5217;81150028028;8115028;81150028028;Leonberg;Stadt;61;--;8;48222;Kreissparkasse Böblingen;3;KSK BÖB;0,013517846;0,004800893;0,002429156;0,020747895;0,008145543;0,004634346;0,000504446;0,013284335;0,00170943;0,003510285;8791310560
4;5218;81150029029;8115029;81150029029;Magstadt;Gemeinde;62;--;8;9619;Kreissparkasse Böblingen;3;KSK BÖB;0,013517846;0,004800893;0,002429156;0,020747895;0,008145543;0,004634346;0,000504446;0,013284335;0,00170943;0,003510285;8791310560
5;5219;81150041041;8115041;81150041041;Renningen;Stadt;61;--;8;18049;Kreissparkasse Böblingen;3;KSK BÖB;0,013517846;0,004800893;0,002429156;0,020747895;0,008145543;0,004634346;0,000504446;0,013284335;0,00170943;0,003510285;8791310560
6;5220;81150042042;8115042;81150042042;Rutesheim;Stadt;61;--;8;10924;Kreissparkasse Böblingen;3;KSK BÖB;0,013517846;0,004800893;0,002429156;0,020747895;0,008145543;0,004634346;0,000504446;0,013284335;0,00170943;0,003510285;8791310560
7;5221;81150044044;8115044;81150044044;Schönaich;Gemeinde;62;--;8;10626;Kreissparkasse Böblingen;3;KSK BÖB;0,013517846;0,004800893;0,002429156;0,020747895;0,008145543;0,004634346;0,000504446;0,013284335;0,00170943;0,003510285;8791310560
8;5222;81150045045;8115045;81150045045;Sindelfingen;Stadt;61;--;8;64599;Kreissparkasse Böblingen;3;KSK BÖB;0,013517846;0,004800893;0,002429156;0,020747895;0,008145543;0,004634346;0,000504446;0,013284335;0,00170943;0,003510285;8791310560
9;5223;81150050050;8115050;81150050050;Weil der Stadt;Stadt;61;--;8;19024;Kreissparkasse Böblingen;3;KSK BÖB;0,013517846;0,004800893;0,002429156;0,020747895;0,008145543;0,004634346;0,000504446;0,013284335;0,00170943;0,003510285;8791310560
10;5224;81150051051;8115051;81150051051;Weil im Schönbuch;Gemeinde;62;--;8;9969;Kreissparkasse Böblingen;3;KSK BÖB;0,013517846;0,004800893;0,002429156;0,020747895;0,008145543;0,004634346;0,000504446;0,013284335;0,00170943;0,003510285;8791310560
11;5225;81150052052;8115052;81150052052;Weissach;Gemeinde;62;--;8;7497;Kreissparkasse Böblingen;3;KSK BÖB;0,013517846;0,004800893;0,002429156;0,020747895;0,008145543;0,004634346;0,000504446;0,013284335;0,00170943;0,003510285;8791310560
12;5226;81155001001;8115001;81155001001;Aidlingen;Gemeinde;64;gemeinschaftsangehörig;8;8976;Kreissparkasse Böblingen;3;KSK BÖB;0,013517846;0,004800893;0,002429156;0,020747895;0,008145543;0,004634346;0,000504446;0,013284335;0,00170943;0,003510285;8791310560
13;5227;81155001054;8115054;81155001054;Grafenau;Gemeinde;64;gemeinschaftsangehörig;8;6762;Kreissparkasse Böblingen;3;KSK BÖB;0,013517846;0,004800893;0,002429156;0,020747895;0,008145543;0,004634346;0,000504446;0,013284335;0,00170943;0,003510285;8791310560
14;5228;81155002013;8115013;81155002013;Ehningen;Gemeinde;64;gemeinschaftsangehörig;8;9005;Kreissparkasse Böblingen;3;KSK BÖB;0,013517846;0,004800893;0,002429156;0,020747895;0,008145543;0,004634346;0,000504446;0,013284335;0,00170943;0,003510285;8791310560
15;5229;81155002015;8115015;81155002015;Gärtringen;Gemeinde;64;gemeinschaftsangehörig;8;12204;Kreissparkasse Böblingen;3;KSK BÖB;0,013517846;0,004800893;0,002429156;0,020747895;0,008145543;0,004634346;0,000504446;0,013284335;0,00170943;0,003510285;8791310560
16;5230;81155003010;8115010;81155003010;Deckenpfronn;Gemeinde;64;gemeinschaftsangehörig;8;3309;Kreissparkasse Böblingen;3;KSK BÖB;0,013517846;0,004800893;0,002429156;0,020747895;0,008145543;0,004634346;0,000504446;0,013284335;0,00170943;0,003510285;8791310560
17;5231;81155003021;8115021;81155003021;Herrenberg;Stadt;63;gemeinschaftsangehörig;8;31499;Kreissparkasse Böblingen;3;KSK BÖB;0,013517846;0,004800893;0,002429156;0,020747895;0,008145543;0,004634346;0,000504446;0,013284335;0,00170943;0,003510285;8791310560
18;5232;81155003037;8115037;81155003037;Nufringen;Gemeinde;64;gemeinschaftsangehörig;8;5747;Kreissparkasse Böblingen;3;KSK BÖB;0,013517846;0,004800893;0,002429156;0,020747895;0,008145543;0,004634346;0,000504446;0,013284335;0,00170943;0,003510285;8791310560
19;5233;81155004002;8115002;81155004002;Altdorf;Gemeinde;64;gemeinschaftsangehörig;8;4647;Kreissparkasse Böblingen;3;KSK BÖB;0,013517846;0,004800893;0,002429156;0,020747895;0,008145543;0,004634346;0,000504446;0,013284335;0,00170943;0,003510285;8791310560
20;5234;81155004022;8115022;81155004022;Hildrizhausen;Gemeinde;64;gemeinschaftsangehörig;8;3617;Kreissparkasse Böblingen;3;KSK BÖB;0,013517846;0,004800893;0,002429156;0,020747895;0,008145543;0,004634346;0,000504446;0,013284335;0,00170943;0,003510285;8791310560
21;5235;81155004024;8115024;81155004024;Holzgerlingen;Stadt;63;gemeinschaftsangehörig;8;13018;Kreissparkasse Böblingen;3;KSK BÖB;0,013517846;0,004800893;0,002429156;0,020747895;0,008145543;0,004634346;0,000504446;0,013284335;0,00170943;0,003510285;8791310560
22;5236;81155005004;8115004;81155005004;Bondorf;Gemeinde;64;gemeinschaftsangehörig;8;5925;Kreissparkasse Böblingen;3;KSK BÖB;0,013517846;0,004800893;0,002429156;0,020747895;0,008145543;0,004634346;0,000504446;0,013284335;0,00170943;0,003510285;8791310560
23;5237;81155005016;8115016;81155005016;Gäufelden;Gemeinde;64;gemeinschaftsangehörig;8;9343;Kreissparkasse Böblingen;3;KSK BÖB;0,013517846;0,004800893;0,002429156;0,020747895;0,008145543;0,004634346;0,000504446;0,013284335;0,00170943;0,003510285;8791310560
24;5238;81155005034;8115034;81155005034;Mötzingen;Gemeinde;64;gemeinschaftsangehörig;8;3671;Kreissparkasse Böblingen;3;KSK BÖB;0,013517846;0,004800893;0,002429156;0,020747895;0,008145543;0,004634346;0,000504446;0,013284335;0,00170943;0,003510285;8791310560
25;5239;81155005053;8115053;81155005053;Jettingen;Gemeinde;64;gemeinschaftsangehörig;8;7903;Kreissparkasse Böblingen;3;KSK BÖB;0,013517846;0,004800893;0,002429156;0,020747895;0,008145543;0,004634346;0,000504446;0,013284335;0,00170943;0,003510285;8791310560
26;5240;81155006046;8115046;81155006046;Steinenbronn;Gemeinde;64;gemeinschaftsangehörig;8;6638;Kreissparkasse Böblingen;3;KSK BÖB;0,013517846;0,004800893;0,002429156;0,020747895;0,008145543;0,004634346;0,000504446;0,013284335;0,00170943;0,003510285;8791310560
27;5241;81155006048;8115048;81155006048;Waldenbuch;Stadt;63;gemeinschaftsangehörig;8;8720;Kreissparkasse Böblingen;3;KSK BÖB;0,013517846;0,004800893;0,002429156;0,020747895;0,008145543;0,004634346;0,000504446;0,013284335;0,00170943;0,003510285;8791310560
28;5242;81160015015;8116015;81160015015;Denkendorf;Gemeinde;62;--;8;11225;Kreissparkasse Esslingen-Nürtingen;4;KSK ESS;0,014762041;0,006439268;0,003789276;0,024990585;0,009289495;0,00488659;0,000562029;0,014738114;0,001330054;0,003344732;9793366218
29;5243;81160019019;8116019;81160019019;Esslingen am Neckar;Stadt;61;--;8;93004;Kreissparkasse Esslingen-Nürtingen;4;KSK ESS;0,014762041;0,006439268;0,003789276;0,024990585;0,009289495;0,00488659;0,000562029;0,014738114;0,001330054;0,003344732;9793366218
30;5244;81160047047;8116047;81160047047;Neuhausen auf den Fildern;Gemeinde;62;--;8;11779;Kreissparkasse Esslingen-Nürtingen;4;KSK ESS;0,014762041;0,006439268;0,003789276;0,024990585;0,009289495;0,00488659;0,000562029;0,014738114;0,001330054;0,003344732;9793366218
31;5245;81160072072;8116072;81160072072;Wernau (Neckar);Stadt;61;--;8;12388;Kreissparkasse Esslingen-Nürtingen;4;KSK ESS;0,014762041;0,006439268;0,003789276;0,024990585;0,009289495;0,00488659;0,000562029;0,014738114;0,001330054;0,003344732;9793366218
32;5246;81160076076;8116076;81160076076;Aichwald;Gemeinde;62;--;8;7537;Kreissparkasse Esslingen-Nürtingen;4;KSK ESS;0,014762041;0,006439268;0,003789276;0,024990585;0,009289495;0,00488659;0,000562029;0,014738114;0,001330054;0,003344732;9793366218
33;5247;81160077077;8116077;81160077077;Filderstadt;Stadt;61;--;8;45807;Kreissparkasse Esslingen-Nürtingen;4;KSK ESS;0,014762041;0,006439268;0,003789276;0,024990585;0,009289495;0,00488659;0,000562029;0,014738114;0,001330054;0,003344732;9793366218
34;5248;81160078078;8116078;81160078078;Leinfelden-Echterdingen;Stadt;61;--;8;39826;Kreissparkasse Esslingen-Nürtingen;4;KSK ESS;0,014762041;0,006439268;0,003789276;0,024990585;0,009289495;0,00488659;0,000562029;0,014738114;0,001330054;0,003344732;9793366218
35;5249;81160080080;8116080;81160080080;Ostfildern;Stadt;61;--;8;39205;Kreissparkasse Esslingen-Nürtingen;4;KSK ESS;0,014762041;0,006439268;0,003789276;0,024990585;0,009289495;0,00488659;0,000562029;0,014738114;0,001330054;0,003344732;9793366218
36;5250;81160081081;8116081;81160081081;Aichtal;Stadt;61;--;8;10045;Kreissparkasse Esslingen-Nürtingen;4;KSK ESS;0,014762041;0,006439268;0,003789276;0,024990585;0,009289495;0,00488659;0,000562029;0,014738114;0,001330054;0,003344732;9793366218
37;5251;81165001016;8116016;81165001016;Dettingen unter Teck;Gemeinde;64;gemeinschaftsangehörig;8;6132;Kreissparkasse Esslingen-Nürtingen;4;KSK ESS;0,014762041;0,006439268;0,003789276;0,024990585;0,009289495;0,00488659;0,000562029;0,014738114;0,001330054;0,003344732;9793366218
38;5252;81165001033;8116033;81165001033;Kirchheim unter Teck;Stadt;63;gemeinschaftsangehörig;8;40446;Kreissparkasse Esslingen-Nürtingen;4;KSK ESS;0,014762041;0,006439268;0,003789276;0,024990585;0,009289495;0,00488659;0,000562029;0,014738114;0,001330054;0,003344732;9793366218
39;5253;81165001048;8116048;81165001048;Notzingen;Gemeinde;64;gemeinschaftsangehörig;8;3676;Kreissparkasse Esslingen-Nürtingen;4;KSK ESS;0,014762041;0,006439268;0,003789276;0,024990585;0,009289495;0,00488659;0,000562029;0,014738114;0,001330054;0,003344732;9793366218
40;5254;81165002018;8116018;81165002018;Erkenbrechtsweiler;Gemeinde;64;gemeinschaftsangehörig;8;2176;Kreissparkasse Esslingen-Nürtingen;4;KSK ESS;0,014762041;0,006439268;0,003789276;0,024990585;0,009289495;0,00488659;0,000562029;0,014738114;0,001330054;0,003344732;9793366218
41;5255;81165002054;8116054;81165002054;Owen;Stadt;63;gemeinschaftsangehörig;8;3434;Kreissparkasse Esslingen-Nürtingen;4;KSK ESS;0,014762041;0,006439268;0,003789276;0,024990585;0,009289495;0,00488659;0,000562029;0,014738114;0,001330054;0,003344732;9793366218
42;5256;81165002079;8116079;81165002079;Lenningen;Gemeinde;64;gemeinschaftsangehörig;8;8249;Kreissparkasse Esslingen-Nürtingen;4;KSK ESS;0,014762041;0,006439268;0,003789276;0,024990585;0,009289495;0,00488659;0,000562029;0,014738114;0,001330054;0,003344732;9793366218
43;5257;81165003005;8116005;81165003005;Altdorf;Gemeinde;64;gemeinschaftsangehörig;8;1685;Kreissparkasse Esslingen-Nürtingen;4;KSK ESS;0,014762041;0,006439268;0,003789276;0,024990585;0,009289495;0,00488659;0,000562029;0,014738114;0,001330054;0,003344732;9793366218
44;5258;81165003006;8116006;81165003006;Altenriet;Gemeinde;64;gemeinschaftsangehörig;8;1912;Kreissparkasse Esslingen-Nürtingen;4;KSK ESS;0,014762041;0,006439268;0,003789276;0,024990585;0,009289495;0,00488659;0,000562029;0,014738114;0,001330054;0,003344732;9793366218
45;5259;81165003008;8116008;81165003008;Bempflingen;Gemeinde;64;gemeinschaftsangehörig;8;3499;Kreissparkasse Esslingen-Nürtingen;4;KSK ESS;0,014762041;0,006439268;0,003789276;0,024990585;0,009289495;0,00488659;0,000562029;0,014738114;0,001330054;0,003344732;9793366218
46;5260;81165003041;8116041;81165003041;Neckartailfingen;Gemeinde;64;gemeinschaftsangehörig;8;3763;Kreissparkasse Esslingen-Nürtingen;4;KSK ESS;0,014762041;0,006439268;0,003789276;0,024990585;0,009289495;0,00488659;0,000562029;0,014738114;0,001330054;0,003344732;9793366218
47;5261;81165003042;8116042;81165003042;Neckartenzlingen;Gemeinde;64;gemeinschaftsangehörig;8;6549;Kreissparkasse Esslingen-Nürtingen;4;KSK ESS;0,014762041;0,006439268;0,003789276;0,024990585;0,009289495;0,00488659;0,000562029;0,014738114;0,001330054;0,003344732;9793366218
48;5262;81165003063;8116063;81165003063;Schlaitdorf;Gemeinde;64;gemeinschaftsangehörig;8;1876;Kreissparkasse Esslingen-Nürtingen;4;KSK ESS;0,014762041;0,006439268;0,003789276;0,024990585;0,009289495;0,00488659;0,000562029;0,014738114;0,001330054;0,003344732;9793366218
49;5263;81165004011;8116011;81165004011;Beuren;Gemeinde;64;gemeinschaftsangehörig;8;3585;Kreissparkasse Esslingen-Nürtingen;4;KSK ESS;0,014762041;0,006439268;0,003789276;0,024990585;0,009289495;0,00488659;0,000562029;0,014738114;0,001330054;0,003344732;9793366218
50;5264;81165004036;8116036;81165004036;Kohlberg;Gemeinde;64;gemeinschaftsangehörig;8;2320;Kreissparkasse Esslingen-Nürtingen;4;KSK ESS;0,014762041;0,006439268;0,003789276;0,024990585;0,009289495;0,00488659;0,000562029;0,014738114;0,001330054;0,003344732;9793366218
51;5265;81165004046;8116046;81165004046;Neuffen;Stadt;63;gemeinschaftsangehörig;8;6343;Kreissparkasse Esslingen-Nürtingen;4;KSK ESS;0,014762041;0,006439268;0,003789276;0,024990585;0,009289495;0,00488659;0,000562029;0,014738114;0,001330054;0,003344732;9793366218
52;5266;81165005020;8116020;81165005020;Frickenhausen;Gemeinde;64;gemeinschaftsangehörig;8;9039;Kreissparkasse Esslingen-Nürtingen;4;KSK ESS;0,014762041;0,006439268;0,003789276;0,024990585;0,009289495;0,00488659;0,000562029;0,014738114;0,001330054;0,003344732;9793366218
53;5267;81165005022;8116022;81165005022;Großbettlingen;Gemeinde;64;gemeinschaftsangehörig;8;4445;Kreissparkasse Esslingen-Nürtingen;4;KSK ESS;0,014762041;0,006439268;0,003789276;0,024990585;0,009289495;0,00488659;0,000562029;0,014738114;0,001330054;0,003344732;9793366218
54;5268;81165005049;8116049;81165005049;Nürtingen;Stadt;63;gemeinschaftsangehörig;8;41017;Kreissparkasse Esslingen-Nürtingen;4;KSK ESS;0,014762041;0,006439268;0,003789276;0,024990585;0,009289495;0,00488659;0,000562029;0,014738114;0,001330054;0,003344732;9793366218
55;5269;81165005050;8116050;81165005050;Oberboihingen;Gemeinde;64;gemeinschaftsangehörig;8;5601;Kreissparkasse Esslingen-Nürtingen;4;KSK ESS;0,014762041;0,006439268;0,003789276;0,024990585;0,009289495;0,00488659;0,000562029;0,014738114;0,001330054;0,003344732;9793366218
56;5270;81165005068;8116068;81165005068;Unterensingen;Gemeinde;64;gemeinschaftsangehörig;8;4916;Kreissparkasse Esslingen-Nürtingen;4;KSK ESS;0,014762041;0,006439268;0,003789276;0,024990585;0,009289495;0,00488659;0,000562029;0,014738114;0,001330054;0,003344732;9793366218
57;5271;81165005073;8116073;81165005073;Wolfschlugen;Gemeinde;64;gemeinschaftsangehörig;8;6368;Kreissparkasse Esslingen-Nürtingen;4;KSK ESS;0,014762041;0,006439268;0,003789276;0,024990585;0,009289495;0,00488659;0,000562029;0,014738114;0,001330054;0,003344732;9793366218
58;5272;81165006004;8116004;81165006004;Altbach;Gemeinde;64;gemeinschaftsangehörig;8;5990;Kreissparkasse Esslingen-Nürtingen;4;KSK ESS;0,014762041;0,006439268;0,003789276;0,024990585;0,009289495;0,00488659;0,000562029;0,014738114;0,001330054;0,003344732;9793366218
59;5273;81165006014;8116014;81165006014;Deizisau;Gemeinde;64;gemeinschaftsangehörig;8;6918;Kreissparkasse Esslingen-Nürtingen;4;KSK ESS;0,014762041;0,006439268;0,003789276;0,024990585;0,009289495;0,00488659;0,000562029;0,014738114;0,001330054;0,003344732;9793366218
